Pedicularis sylvatica
Pelosia muscerda
Peltigera collina
Peltigera horizontalis
Peltigera lepidophora
Peniophora piceae
Perdix perdix
Pernis apivorus
Pertusaria coccodes
Pertusaria coronata
Pertusaria pupillaris
Petasina unidentata
Petrocallis pyrenaica
Peucedanum carvifolia
Peucedanum cervaria
Peucedanum palustre
Peucedanum venetum
Pezotettix giornae
Phaeophyscia ciliata
Phaneroptera falcata
Phellinus contiguus
Phellinus laevigatus
Phellodon niger
Phengaris arion
Phengaris nausithous
Phengaris teleius
Phlebiella vaga
Phlyctis agelaea
Phoenicurus phoenicurus
Pholidoptera fallax
Pholiota cerifera
Pholiota lucifera
Pholiota spumosa
Pholiota tuberculosa
Phragmatobia luctifera
Phyllodesma tremulifolia
Phylloscopus sibilatrix
Phylloscopus trochilus
Physconia enteroxantha
Physconia grisea
Physconia perisidiosa
Phytoecia affinis
Picus canus
Pieris mannii
Pimpinella nigra
Pinguicula vulgaris
Pipistrellus pygmaeus
Pisidium obtusale
Plagiobryum zieri
Plebejus argus
Plebejus argyrognomon
Plebejus idas
Plecotus auritus
Plecotus austriacus
Plecotus macrobullaris
Plectrocnemia brevis
Plectrocnemia geniculata
Pleurocybella porrigens
Pleurospermum austriacum
Pleurotus dryinus
Pleurotus pulmonarius
Pluteus ephebeus
Pluteus phlebophorus
Pluteus thomsonii
Pluteus umbrosus
Poa badensis
Poa molinerii
Poa palustris
Poa perconcinna
Poa remota
Podiceps nigricollis
Pohlia melanodon
Polemonium caeruleum
Polycarpon tetraphyllum
Polycnemum majus
Polygala amara
Polygala comosa
Polygonum alpinum
Polyommatus amandus
Polyommatus damon
Polyommatus daphnis
Polyommatus dorylas
Polyommatus escheri
Polyommatus thersites
Polyploca ridens
Polysarcus denticauda
Polytrichum longisetum
Polytrichum strictum
Pomatias elegans
Pontia callidice
Pontia edusa
Porzana porzana
Potamanthus luteus
Potamophylax nigricornis
Potentilla alba
Potentilla heptaphylla
Potentilla inclinata
Potentilla palustris
Potentilla rupestris
Potentilla thuringiaca
Primula glutinosa
Primula halleri
Prionus coriarius
Proserpinus proserpina
Protaetia speciosissima
Protonemura auberti
Protonemura meyeri
Prunella laciniata
Psathyrella spadicea
Pseudocrossidium revolutum
Pseudophilotes baton
Psophus stridulus
Pteris cretica
Pteronemobius heydenii
Pteronemobius lineolatus
Ptilocolepus granulatus
Pulicaria dysenterica
Pulmonaria montana
Pulmonaria officinalis
Pulsatilla halleri
Pulsatilla vulgaris
Pupilla triplicata
Purpuricenus kaehleri
Pyrgus accreta
Pyrgus armoricanus
Pyrgus carlinae
Pyrgus carthami
Pyrgus onopordi
Pyrola chlorantha
Pyrrhocorax pyrrhocorax
Quercus cerris
Racomitrium lanuginosum
Ramalina fastigiata
Ramalina fraxinea
Ramalina pollinaria
Ramaria abietina
Ramaria aurea
Ramaria botrytis
Rana dalmatina
Rana latastei
Ranunculus arvensis
Ranunculus flammula
Ranunculus polyanthemophyllus
Ranunculus sardous
Ranunculus sceleratus
Ranunculus thora
Rattus rattus
Remiz pendulinus
Reseda luteola
Rhagades pruni
Rhagium bifasciatum
Rhagium sycophanta
Rhamnus saxatilis
Rhinanthus angustifolius
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Rhodocollybia prolixa
Rhodocybe popinalis
Rhodonia placenta
Rhynchospora alba
Rhyparia purpurata
Rhytisma salicinum
Rinodina capensis
Rinodina exigua
Rinodina pyrina
Riparia riparia
Ropalospora viridis
Rorippa amphibia
Rorippa islandica
Rorippa stylosa
Rosa abietina
Rosa agrestis
Rosa chavinii
Rosa elliptica
Rosa gallica
Rosa majalis
Rosa micrantha
Rosa montana
Rosa sherardii
Rosa stylosa
Rosa subcollina
Rosa tomentella
Rosa villosa
Rosalia alpina
Rubia tinctorum
